tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,gabarito
GERÊNCIA E SUPORTE DA TECNOLOGIA DA INFORMAÇÃO,O COBIT é um framework para governança e gestão de TI empresarial. Qual é o foco principal do COBIT?,Criar um plano de continuidade de negócios para garantir a recuperação após desastres.,Proteger os dados contra ataques cibernéticos.,"Alinhar a TI com os objetivos de negócio, otimizando investimentos em TI e gerenciando riscos.",Implementar um sistema de inteligência artificial para automatizar a tomada de decisões.,Desenvolver softwares de alta qualidade usando metodologias ágeis.,C
GERÊNCIA E SUPORTE DA TECNOLOGIA DA INFORMAÇÃO,Qual das alternativas abaixo NÃO é um benefício da computação em nuvem?,Redução de custos,Segurança reduzida,Alta disponibilidade,Escalabilidade,Flexibilidade,B
GERÊNCIA E SUPORTE DA TECNOLOGIA DA INFORMAÇÃO,O que é Big Data?,Um sistema de inteligência artificial para analisar dados em tempo real.,Um tipo de banco de dados relacional usado para armazenar grandes volumes de dados.,Um conjunto de dados tão grandes e complexos que os métodos tradicionais de processamento de dados são inadequados.,Uma técnica de mineração de dados para descobrir padrões em conjuntos de dados.,Um algoritmo de aprendizado de máquina para fazer previsões.,C
GERÊNCIA E SUPORTE DA TECNOLOGIA DA INFORMAÇÃO,Quais são as normas ISO que estabelecem padrões internacionais para a gestão da segurança da informação?,ISO 20000 e ISO 22301,ISO 31000 e ISO 27000,ISO 27001 e ISO 17799,ISO 9001 e ISO 14001,ISO 14000 e ISO 26000,C
DESENVOLVIMENTO DE SOFTWARE,Qual das alternativas abaixo NÃO é uma linguagem de programação orientada a objetos?,C++,C#,Java,SQL,Python,D
DESENVOLVIMENTO DE SOFTWARE,O que é um banco de dados NoSQL?,"Um banco de dados que não utiliza o modelo relacional tradicional, sendo mais flexível e escalável para lidar com grandes volumes de dados e diferentes formatos.",Um banco de dados relacional que utiliza SQL como linguagem de consulta.,Um banco de dados exclusivo para armazenar dados na nuvem.,Um banco de dados usado apenas em aplicações mobile.,Um banco de dados que não oferece nenhum tipo de segurança para os dados.,A
DESENVOLVIMENTO DE SOFTWARE,O que significa o princípio da Responsabilidade Única (SRP) no contexto dos princípios SOLID?,Módulos de alto nível não devem depender de módulos de baixo nível. Ambos devem depender de abstrações.,Uma classe deve ter apenas um motivo para mudar.,Subtipos devem ser substituíveis por seus tipos base sem alterar a corretude do programa.,As abstrações não devem depender de detalhes. Detalhes devem depender de abstrações.,"Todas as classes devem ser abertas para extensão, mas fechadas para modificação.",B
DESENVOLVIMENTO DE SOFTWARE,Qual das opções abaixo NÃO é um tipo de estrutura de dados?,Pilha,Fila,Variável,Lista encadeada,Árvore,C
DESENVOLVIMENTO DE SOFTWARE,O que significa normalização em banco de dados?,O processo de eliminar vírus e malwares de um banco de dados.,O processo de criptografar dados em um banco de dados.,A técnica de estruturar um banco de dados para reduzir a redundância e melhorar a integridade dos dados.,O método de criar backups de um banco de dados para prevenir perdas de dados.,A técnica de otimizar consultas SQL para melhorar o desempenho.,C
DESENVOLVIMENTO DE SOFTWARE,O que é a abordagem Entidade-Relacionamento (ER) no contexto de banco de dados?,Uma técnica para criptografar dados em um banco de dados.,Um método para otimizar o desempenho de consultas SQL.,"Uma ferramenta para visualizar a estrutura de um banco de dados, definindo entidades, seus atributos e as relações entre elas.",Um sistema de controle de versão para gerenciar o código de um banco de dados.,Uma linguagem de programação para desenvolver aplicações de banco de dados.,C
DESENVOLVIMENTO DE SOFTWARE,O que é DevOps?,Um tipo de banco de dados NoSQL.,Uma linguagem de programação orientada a objetos.,Uma metodologia que integra desenvolvimento e operações de TI para acelerar a entrega de software e melhorar a qualidade.,Um sistema de controle de versão para gerenciar código-fonte.,Um conjunto de leis que regulamentam o desenvolvimento de software.,C
DESENVOLVIMENTO DE SOFTWARE,O que significa integração contínua em DevOps?,A implementação de medidas de segurança da informação para proteger dados sensíveis.,A prática de automatizar a entrega de atualizações de software para ambientes de produção.,A realização de testes manuais para garantir a qualidade do software.,A criação de um plano de continuidade de negócios para garantir a recuperação após desastres.,A automação do processo de compilação e teste do software sempre que alterações são feitas no código-fonte.,E
DESENVOLVIMENTO DE SOFTWARE,Qual das opções abaixo representa um benefício da utilização de frameworks em desenvolvimento de software?,"Padronização do código e aumento da produtividade, fornecendo estruturas e bibliotecas pré-construídas.",Diminuição da produtividade da equipe de desenvolvimento.,Aumento da complexidade do código.,Maior tempo de desenvolvimento.,Redução da necessidade de testes de software.,A
DESENVOLVIMENTO DE SOFTWARE,O que é o principal objetivo do desenvolvimento de software orientado a testes (TDD)?,Criar um sistema de inteligência artificial para escrever código.,Automatizar o processo de desenvolvimento de software.,Reduzir a necessidade de documentação de software.,Eliminar a necessidade de testes manuais.,Escrever testes antes do código de produção para garantir que o software funcione conforme o esperado desde o início.,E
"APOIO À DECISÃO, INTELIGÊNCIA ARTIFICIAL E MÉTODOS QUANTITATIVOS",Qual dos seguintes termos NÃO está relacionado com Big Data?,Volume,Valor,Volatilidade,Velocidade,Variedade,C
"APOIO À DECISÃO, INTELIGÊNCIA ARTIFICIAL E MÉTODOS QUANTITATIVOS",Qual a função do pré-processamento de dados na mineração de dados?,Eliminar a necessidade de análise de dados.,Criptografar os dados para garantir a segurança.,Criar visualizações de dados para facilitar a compreensão.,"Limpar, normalizar, transformar e reduzir os dados para melhorar a qualidade e a eficiência das análises.",Implementar um sistema de inteligência artificial para analisar dados.,D
"APOIO À DECISÃO, INTELIGÊNCIA ARTIFICIAL E MÉTODOS QUANTITATIVOS",Qual a principal diferença entre um Data Warehouse e um banco de dados transacional (OLTP)?,"Um Data Warehouse é usado apenas para armazenar dados de clientes, enquanto um OLTP é usado para armazenar dados financeiros.","Um Data Warehouse é otimizado para análises complexas, enquanto um OLTP é otimizado para transações rápidas.","Um Data Warehouse armazena dados atuais, enquanto um OLTP armazena dados históricos.","Um Data Warehouse utiliza o modelo relacional, enquanto um OLTP utiliza o modelo NoSQL.","Um Data Warehouse é implementado apenas na nuvem, enquanto um OLTP é implementado em servidores locais.",B
"APOIO À DECISÃO, INTELIGÊNCIA ARTIFICIAL E MÉTODOS QUANTITATIVOS",O que é mineração de dados (Data Mining)?,O processo de armazenar dados em um Data Warehouse.,O processo de descobrir padrões e informações úteis em grandes conjuntos de dados.,A técnica de criptografar dados para garantir a segurança.,A implementação de um sistema de inteligência artificial para analisar dados.,A criação de visualizações de dados para facilitar a compreensão.,B
"APOIO À DECISÃO, INTELIGÊNCIA ARTIFICIAL E MÉTODOS QUANTITATIVOS",O que é aprendizado de máquina (Machine Learning)?,Uma técnica de mineração de dados para descobrir padrões em conjuntos de dados.,Um tipo de banco de dados na nuvem usado para armazenar dados de sensores.,Um conjunto de algoritmos que permite aos computadores aprender com dados sem serem explicitamente programados.,Um sistema de inteligência artificial que substitui os humanos na tomada de decisões.,Um método para criptografar dados para garantir a segurança.,C
"APOIO À DECISÃO, INTELIGÊNCIA ARTIFICIAL E MÉTODOS QUANTITATIVOS",Qual das técnicas abaixo NÃO é um método de mineração de dados?,Regressão,Criptografia,Classificação,Regras de associação,Agrupamento,B
"APOIO À DECISÃO, INTELIGÊNCIA ARTIFICIAL E MÉTODOS QUANTITATIVOS",Qual das alternativas abaixo representa um benefício da visualização de dados?,Eliminar a necessidade de estatística.,Automatizar a tomada de decisões.,Facilitar a compreensão e comunicação de padrões e insights encontrados nos dados.,Substituir a necessidade de análise de dados.,Garantir a segurança dos dados contra ataques cibernéticos.,C
"APOIO À DECISÃO, INTELIGÊNCIA ARTIFICIAL E MÉTODOS QUANTITATIVOS",Qual a principal diferença entre aprendizado de máquina supervisionado e não supervisionado?,"Aprendizado supervisionado é usado para classificação, enquanto o aprendizado não supervisionado é usado para regressão.",Não há diferença significativa entre os dois tipos de aprendizado de máquina.,"Aprendizado supervisionado utiliza conjuntos de dados rotulados, enquanto o aprendizado não supervisionado utiliza conjuntos de dados não rotulados.","Aprendizado supervisionado é mais complexo e demorado, enquanto o aprendizado não supervisionado é mais simples e rápido.","Aprendizado supervisionado é usado apenas em aplicações de inteligência artificial, enquanto o aprendizado não supervisionado pode ser usado em qualquer aplicação.",C
"APOIO À DECISÃO, INTELIGÊNCIA ARTIFICIAL E MÉTODOS QUANTITATIVOS",Qual a principal diferença entre amostragem probabilística e não probabilística?,"Amostragem probabilística gera resultados mais confiáveis, enquanto amostragem não probabilística é mais rápida e fácil de implementar.","Amostragem probabilística é mais precisa, enquanto amostragem não probabilística é mais barata.","Na amostragem probabilística, cada membro da população tem uma chance conhecida de ser selecionado, enquanto na amostragem não probabilística a seleção é baseada em critérios subjetivos.",Não há diferença significativa entre os dois tipos de amostragem.,"Amostragem probabilística é usada apenas em pesquisas de opinião, enquanto a amostragem não probabilística é usada em outros tipos de pesquisa.",C
"APOIO À DECISÃO, INTELIGÊNCIA ARTIFICIAL E MÉTODOS QUANTITATIVOS",O que é um intervalo de confiança em estatística?,Um valor que representa o centro de um conjunto de dados.,Uma medida de dispersão dos dados em torno da média.,Um método de seleção de amostras probabilísticas.,Um teste de hipóteses para verificar a validade de uma afirmação sobre a população.,Uma faixa estimada de valores dentro da qual o valor verdadeiro de um parâmetro populacional provavelmente cairá.,E
